run_id,upstream_version,preset,local_score,public_score,notes
anchor-v1,7,adaptive-short-track-rescue,,,Public 400ep-style anchor; establish reproducibility before tuning
patched-3way-v1,31,standard-global-shift-ilp14,,,Clean patched-metric candidates; selection requires patched holdout scores
harmonic-fusion-v17,8,kimi_v17_harmonic_allin,,,All-in kimi-v17 over 0.913 dual-seed: fusion 0.30 + wide safe-div + DeepCenter best.pt; validator off for scored runs
