iter	Passed	Remaining
261	111833	101589
262	112268	101169
263	112707	100753
264	113100	100296
265	113474	99823
266	113847	99349
267	114283	98931
268	114691	98489
269	115103	98051
270	115546	97639
271	115975	97215
272	116382	96772
273	116825	96359
274	117235	95920
275	117655	95488
276	118102	95078
277	118505	94633
278	118963	94232
279	119351	93775
280	119777	93349
281	120153	92884
282	120586	92463
283	121036	92055
284	121441	91613
285	121817	91150
286	122224	90710
287	122634	90272
288	123082	89862
289	123484	89419
290	123912	88995
291	124325	88560
292	124761	88142
293	125200	87725
294	125642	87310
295	126054	86875
296	126480	86449
297	126949	86053
298	127401	85644
299	127834	85223
300	128228	84775
301	128642	84341
302	129054	83906
303	129478	83479
304	129904	83053
305	130341	82635
306	130747	82196
307	131157	81760
308	131600	81345
309	131959	80878
310	132353	80433
311	132750	79990
312	133138	79542
313	133567	79119
314	133983	78688
315	134401	78259
316	134821	77830
317	135273	77420
318	135642	76963
319	136072	76540
320	136493	76113
321	136878	75665
322	137280	75228
323	137687	74793
324	138117	74370
325	138477	73911
326	138899	73485
327	139333	73065
328	139772	72647
329	140184	72216
330	140532	71752
331	140943	71320
332	141357	70891
333	141780	70465
334	142208	70043
335	142623	69613
336	143044	69187
337	143494	68775
338	143947	68364
339	144391	67948
340	144822	67526
341	145243	67100
342	145633	66660
343	146068	66240
344	146481	65810
345	146922	65393
346	147345	64968
347	147741	64530
348	148108	64081
349	148532	63656
350	148892	63205
351	149324	62784
352	149685	62333
353	150049	61885
354	150480	61464
355	150890	61034
356	151336	60619
357	151712	60176
358	152120	59746
359	152555	59327
360	152994	58909
361	153396	58476
362	153837	58059
363	154273	57640
364	154665	57205
365	155097	56784
366	155503	56354
367	155856	55904
368	156207	55455
369	156617	55027
370	156977	54582
371	157376	54150
372	157785	53723
373	158158	53283
374	158546	52848
375	158988	52432
376	159409	52009
377	159804	51577
378	160213	51150
379	160630	50725
380	160988	50282
381	161337	49837
382	161722	49403
383	162116	48972
384	162537	48550
385	162936	48121
386	163367	47701
387	163722	47260
388	164176	46847
389	164530	46406
390	164933	45978
391	165358	45557
392	165828	45149
393	166212	44717
394	166567	44277
395	167001	43859
396	167438	43441
397	167845	43015
398	168278	42596
399	168698	42174
400	169092	41745
401	169446	41307
402	169807	40871
403	170244	40454
404	170663	40032
405	171103	39615
406	171516	39191
407	171940	38770
408	172385	38354
409	172812	37934
410	173223	37510
411	173606	37080
412	174001	36654
413	174359	36219
414	174806	35803
415	175250	35387
416	175697	34971
417	176117	34549
418	176567	34133
419	176917	33698
420	177285	33267
421	177729	32850
422	178163	32431
423	178549	32004
424	178959	31581
425	179398	31163
426	179792	30737
427	180157	30306
428	180510	29874
429	180858	29442
430	181300	29024
431	181737	28606
432	182091	28175
433	182507	27754
434	182944	27336
435	183337	26911
436	183807	26498
437	184186	26072
438	184552	25643
439	184987	25225
440	185395	24803
441	185856	24388
442	186208	23959
443	186621	23537
444	186987	23110
445	187349	22683
446	187785	22265
447	188168	21841
448	188575	21419
449	189020	21002
450	189436	20581
451	189843	20160
452	190213	19735
453	190592	19311
454	191030	18893
455	191386	18467
456	191779	18044
457	192187	17624
458	192587	17202
459	193025	16784
460	193395	16361
461	193809	15941
462	194199	15519
463	194613	15099
464	195060	14681
465	195421	14258
466	195844	13839
467	196261	13419
468	196667	12999
469	197067	12578
470	197471	12158
471	197886	11739
472	198321	11320
473	198729	10900
474	199137	10480
475	199546	10061
476	199993	9643
477	200401	9223
478	200832	8804
479	201209	8383
480	201692	7967
481	202058	7545
482	202486	7126
483	202893	6707
484	203298	6287
485	203726	5868
486	204086	5447
487	204521	5029
488	204920	4609
489	205312	4190
490	205732	3771
491	206124	3351
492	206557	2932
493	206910	2513
494	207291	2093
495	207661	1674
496	208095	1256
497	208535	837
498	208950	418
499	209378	0
