model,oof_balanced_accuracy,seconds,features,external_rows,use_external,use_gpu,notes,GALAXY_recall,QSO_recall,STAR_recall,class_multipliers
lgb,0.9637331865413774,1640.1269640922546,26,99999,True,True,boosters features + external rows,0.9663558334216382,0.9715049127988868,0.9533388134036072,
xgb,0.9634582966263526,359.416166305542,26,99999,True,True,boosters features + external rows,0.9664962382112959,0.9711805229505818,0.9526981287171801,
cb,0.9628697140079874,281.88443303108215,26,99999,True,True,native categoricals + external rows,0.9521881954010809,0.9751158840050195,0.9613050626178619,
mlp,0.9677255769356722,5837.8325028419495,26,99999,True,True,RealMLP 3-seed avg; external=False,0.9582732860019074,0.975124420579975,0.9697790242251342,
blend_gbm_argmax,0.9642762872849248,,26,99999,True,True,hill-climb blend: lgb+xgb+cb,0.9632059976687507,0.9730927157405905,0.956530148445433,
blend_all_argmax,0.96836272467817,,26,99999,True,True,hill-climb blend: boosters+RealMLP,0.9618125463600721,0.9747658844318483,0.9685097432425899,
final_blend_weighted,0.9685800802565531,,26,99999,True,True,selected blend + per-class multipliers,0.9590521352124616,0.9747573478568928,0.9719307577003047,"{""GALAXY"": 0.9272727272727274, ""QSO"": 0.9818181818181819, ""STAR"": 1.090909090909091}"
